2017/6/19 更新停止,曲数:190,,,,,,
A,B,C,D,E,超個人差,未分類,地力
Dystopia[MXM],Boss Rush[EXH],About me,Aragami[EXH],Aurora (Latinized Style)[MXM],,,鍵盤
Noisy Minority[EXH],HAELE Ⅲ ～Angel Worlds～[EXH],Baby Sherry,Crazy ∞ nighT,Chocolate Planet[EXH],,,つまみ
キュリオシティ[EXH],Last Battalion[EXH],Belly Flopper,- dirty rouge -,Death Blossom,,,※個人差
【超超光速スピードスターかなで[ADV]】,LOVE EAST[MXM],citrus,Gaze ft. 紫崎 雪[MXM],Freeway Shuffle -More2 HAPPY Re-Mix-,,,【初見殺し】
準備運動[EXH],Never Ending,Go↓Go↑Girls&Boys!,Grip & Break down !! - SDVX Edit. -,Get out of my sight,,,新曲
,POLICY BREAK Medley[EXH],HE4VEN ～天国へようこそ～[ADV],Finally Dive,Le ××××,,,難易度変更
,Rings of Rainbow,iLLness LiLin[ADV],LEMON SUMMER,Sakura Reflection (P*Light Slayer Remix),,,
,朧 (kamome sano remix)[MXM],Mermaid girl(Tropical Remix),Lieselotte,【She is my wife すーぱーアイドル☆ミツル子】,,,
,千本桜[MXM],odds and ends[EXH],Lonly Ranunculus,shiny rainbow flower,,,
,地方創生☆チクワクティクス,Poison Blood,Next infection,Take to Lips[MXM],,,
,はわわｗ！な展開っ！[EXH],Russian Caravan Rhapsody,Nostalgia[MXM],wander+wonder+wand,,,
,,Strobe・Girl,Plelude -Hereafter-,朝色の紙飛行機,,,
,,TYCOON[EXH],Pristine Bigband,カミサマネジマキ[EXH],,,
,,Wuv U -More2 HAPPY Re-Mix Special-,SkyDrive!,患部で止まってすぐ溶ける[EXH],,,
,,ウサテイ,Unlimited Field,恋する☆宇宙戦争っ!! あばばばみっくす[EXH],,,
,,壊 Rave*it!! 壊 Rave*it!![EXH],Virtual Sunrise,湖底遺跡のヴィダー・ハル[MXM],,,
,,ケムマキunderground[EXH],VOLTEXES Ⅱ,朝色の紙飛行機(EXIT TUNES),,,
,,恋とキングコング[MXM],We Are The Scarlet (SDVX Edit),超恋愛☆エクストリーム・ガール,,,
,,ごりらがいるんだ ～かぼちゃが歌ってみた～,愛くるしフール -Not EASY!!-,突撃!ガラスのニーソ姫! D.watt nu-denpa RMX,,,
,,ジャンピン・スマイル,お嫁にしなさいっ！,パンダヒーロー[MXM],,,
,,弾幕注意報2014,カレクレンマ,ルービックキューブ,,,
,,ちくわパフェだよ☆CKP,きゅん×きゅんばっきゅん☆LOVE[MXM],Dawn of Asia[EXH],,,
,,ネコクマウササー,恋繋エピローグ,Earthquake Super Shock - SDVX Edit. -,,,
,,ブチアゲドクター☆ハイテッコ三姉妹,コミカルなミシャグジとラジエーション,Evans VolteX Pf arrange,,,
,,魔法少女達の百年祭(masty core remix),シャ ビ ドゥ 素敵な恋の魔法,Ha･lle･lu･jah[INF],,,
,,刃の如く ft. ネコメアリ[MXM],白い雪のプリンセスは,MANDARA,,,
,,ゆうしゃのふゆやすみ,侵蝕コード：666 -今日ちょっと指（略-,taboo tears you up 2008,,,
,,恋歌疾風！かるたクイーンいろは[EXH],人生リセットボタン,Vindicator,,,
,,ワヴル魔法図書館,ずっとそばにいさせてよね！,アルストロメリア KURO-HACO Remix,,,
,,Cleopatrysm[EXH],仙酌絶唱のファンタジア,ケロ⑨destiny[EXH],,,
,,Daily Lunch Special ～DeliciousREMIX～,打打打打打打打打打打[EXH],恋はどう？モロ◎波動OK☆方程式!!,,,
,,further the future,月見夜ラビット,セツナトリップ[EXH],,,
,,Hustle Beat!!,デッドボヲルdeホームラン,ノイジーラバーソウル,,,
,,Mother Ship (C-YA MIX),ナイフ,Distorted Floor[EXH],,,
,,New Days,ハナビラ:リンクス,LittleGameStar[EXH],,,
,,NEXT BILLIONAIRE,冬に桜が咲くようなキセキ。,Virtual Sunrise (xac remix),,,
,,Over the Starlit sky,フラッター現象の顛末と単一指向性の感情論,ヒミツダイヤル,,,
,,Paradoxy,僕は空気が嫁ない,みくみくにしてあげる♪,,,
,,Smooth Wind,水月鏡花のコノテーション,ミライプリズム[INF],,,
