2019/3/31更新,曲数:375,,,,https://medaka.5ch.net/test/read.cgi/otoge/1519948541,,,,,,
16詐称(16S),16強(16AとB),,16中(16CとD),,16弱(16EとF),,16逆詐称(16F),超個人差,未分類,変更議論中,地力
jack-the-Ripper♦[EXH],Adansonia[MXM],Celestial stinger[EXH],゜*。Chantilly Fille。*°[MXM],6弦とピアノのためのエチュード op.4,ancient garden,8 -eight-,,妖隠し -あやかしかくし-,Addicted Moon[MXM],,鍵盤
,choux à la crème[EXH],※croiX[EXH],4NT1 D34D[MXM],AA BlackY mix[EXH],Angelic Jelly[EXH],Asian Chip City,,Xepher Light and DarknessEXH],Colors[MXM],,つまみ
,Completeness Under Incomplete[EXH],Dawn of Asia[GRV],Absurd Gaff[EXH],crazy cinema story,Applique[EXH],Beyond the Sandstorm,,,FlwoerNation[MXM],,※個人差
,Crack Traxxxx[EXH],GALAXY BURST[EXH],BLAZING_LAZER[EXH],Divine`s or Deal[EXH],archive::zip[GRV],Chloé,,,シュガーソングとビターステップ[MXM],,【初見殺し】
,crossing blue[EXH],Hyper☆Chipspace,BlueMoon Princess[EXH],Dynasty[EXH],Beyond the BLUE[EXH],Cold Inflation,,,すきなことでいいです[MXM],,新曲
,Destiny[EXH],Immortal Saga[EXH],Breakin` Asia[EXH],Fairy in Strasbourg[MXM],Blue Fire[MXM],DropZ-Line-[EXH],,,迷夢ソウル[MXM],,難易度変更
,Doppelganger[EXH],KHAMEN BREAK[EXH],Candy Star[MXM],GaLaXy EggPlanT[EXH],Burning Spark![MXM],"Electric ""Sister"" Bitch",,,Hi-Fi!!双子`s[MXM],,
,FIRE FIREは電気スウィングの夢を見るか？,KHAMEN BREAK[INF],caramel ribbon[INF],Gamerz FestivaL[EXH],Cirno Break,Engraved Mark,,,スイーツはとまらない♪[MXM],,
,FLOWER REDALiCE Remix[EXH],MAGATORO,CHERNOBOG[EXH],Gott[EXH],crêpe suzette,eternita,,,ヒカリユリイカ[MXM],,
,GERBERA[EXH],Qubism,Claidheamh Soluis-光の剣-[MXM],I'm so Happy,Destroy[EXH],Legendary Road[EXH],,,び[EXH],,
,"Help me,CODYYYYYY!![GRV]",Scarlet Pinheel,Cleopatrysm[INF],Let`s bounce !![MXM],Din Don Dan(Fusion Remix),Monkey Business (lapix Remix),,,50th Memorial Songs[VVD],,
,Lionheart[MXM],STULTI[EXH],Cloud 9[EXH],Liar World Monologue,Discover the Life,neu BSP style,,,Aurolla[EXH],,
,lEyl[EXH],Venomous Firefry[EXH],couleur automnes de chocolat [MXM],mon$tage,Double Universe[EXH],Never Regret Anything,,,Glorious Journey[EXH],,
,Lunartic Dial,VISION[GRV],disordered asia[MXM],Monkey Business -Satire mix-,fancy cake!![MXM],ΩVERSOUL[EXH],,,翠雨の祷[EXH],,
,MODEL FT4[EXH],オニユリ[EXH],Dreadnought[EXH],Narcissus At Oasis 影虎。style[MXM],GEROL,Playing With Fire,,,,,
,NEO TREASON[EXH],スペクトラム[MXM],dreamin' of u[MXM,Second Heaven GravityPf[MXM],Get back here[EXH],Scream out! (SDVX EDIT),,,,,
