2019/3/31更新,曲数:264,,Lv18以上難易度スレ,https://medaka.5ch.net/test/read.cgi/otoge/1538290025/l50 ,,,,,難易度変更提案枠：残り5,
S,A+,A,B,C,D,E,超個人差,未分類,変更議論中,地力
KAC 2012 ULTIMATE MEDLEY[GRV],CHERNOBOG[MXM],ΩVERSOUL[MXM],#SpeedyCats[MXM],Angelic Jelly[GRV],Beyond the BLUE[MXM],Black night[MXM],【SAtAN[MXM]】(18A+～18D),Glorious Journey[MXM],,鍵盤
【HAVOX】,Garakuta Doll Play[HVN],CODE -CRiMSON-[GRV],Absurd Gaff[GRV],AΩ[EXH],BLACK or WHITE?[EXH],【※FIRE IN MY HEART[MXM]】,V[MXM](18A+～18D),SociuS[MXM],,つまみ
Joyeuse[VVD],GERBERA[MXM],Divine's:Bugscript[MXM],Boss Rush[MXM],Be a Hero![MXM],Breakin` Asia[MXM],KIMIDORI Streak!![MXM],【※Firestorm】(18S～18E),Aurolla[MXM],,※個人差
,НУМЛ[MXM],Doppelganger[MXM],Catch Our Fire ![MXM],Broken 8cmix[HVN],Dreadnought[MXM],JEHANNEDARC,【SACRIFICE feat.ayame[MXM]】(18A～18E),翠雨の祷[MXM],,【初見殺し】
,Idora[HVN],For UltraPlayers[EXH],Concertino in Blue[MXM],Cloud 9[MXM],Evans[MXM],PANIC HOLIC[GRV],,,,新曲
,JUNKIE FLAVOR[MXM],Harpuia[HVN],Crack Traxxx[GRV],Destiny[MXM],Evans VolteX Pf arrange[HVN],REDO the NIGHT[MXM],,,,難易度変更
,KAC 2013 MEDLEY Empress Side[EXH],※KAC 2013 MEDLEY Emperor Side[EXH],crossing blue[MXM],ΣmbryØ[EXH],【*Feels Seasickness...*】[EXH],She Turns Me On[MXM],,,,
,PUPA[MXM],Levier'n NābYss[MXM],Demise Quartet,FLOOR INFECTION Medley[MXM],FLügeL《Λrp:ΣggyØ》[EXH],TRICKL4SH 220[MXM],,,,
,Reb∞t[GRV],Mirrorwall[MXM],※DropZ-Line-[MXM],Gamerz FestivaL[MXM],Ghost Trigger[MXM],【びいすと！[MXM]】,,,,
,Venomous Firefly[MXM] ,NEO TREASON[GRV],FLOWER REDALiCE Remix[INF],Goddess Bless you[MXM],Glitter Flatter Scatter[MXM],恋歌疾風！かるたクイーンいろは[MXM],,,,
,Xevel[MXM],Nexta[GRV],【※Gate of Atlantis[MXM]】,Gorgetech[MXM],Grand-Guignol[MXM],Divine`s or Deal[MXM],,,,
,怒槌[MXM],※Noisy Minority[MXM],Hug!! Vs. Hug!![MXM],"gigadelic (かめりあ's ""The TERA"" RMX)",Growth Memories[EXH],Endless Gravity,,,,
,サイコパスラビット[MXM],Nostalgic Blood of the Strife[MXM],Khionos TiARA[MXM],【HP:1[MXM]】,Invitation from Mr.C,End to end,,,,
,神話に芽吹く[MXM],ouroboros -twin strroke of the end-MXM],LastΩmegA[MXM],I[EXH],NEO GRAVITY,Fin.ArcDeaR[EXH],,,,
,超越してしまった彼女と其を生み落し[HVN],PROVOES*PROPOSE[MXM],【LegenD.】,IKAROS DYNAMITE!!!!,Night Rockin` Bird[MXM],The Formula[MXM],,,,
,び[MXM],Qubism[HVN],※Lowermost revolt[MXM],jack-the-Ripper♦[MXM],【POLICY BREAK Medley[MXM]】,XyHATTE[EXH],,,,
,Rebellio[MXM],※V.I.P.[HVN],※Prey[MXM],lEyl[MXM],Pon-Pon-Pompoko Dai-Sen-Saw!,FLOWER[EXH],,,,
,Re:End of a Dream[MXM],Wish upon Twin Stars[GRV],Яe's NoVǢ[MXM],Lunatic Sprinter[MXM],Puberty Dysthymia[MXM],MONOLITH[MXM],,,,
,Yum Yum Sweetie[MXM],XHAOS JUDGE,REVOLVER,Make Magic[MXM],Renegade Fruits[GRV],※【Opium and Purple haze[GRV]】,,,,
,キュリオシティ[MXM],XROSS THE XOUL[GRV],Solar Storm,MeteorGrow Aftermath[MXM],RHYZING BEAT[MXM],Theme of Ricerca[MXM],,,,
,※準備運動[MXM],【オニユリ[MXM]】,Taiko Drum Monster[MXM],※MG277,Spirit of the Beast[MXM],※灼熱Beach Side Bunny,,,,
,【Juggler's Maddness[MXM]】,祝福の色彩は想い結ぶ君たち迄[MXM],THE HEAVEN[MXM],Prayer,Sweet Requiem[MXM],,,,,
,,※Bangin' Burst[EXH],URTLAVELOCITY[MXM],Sacrifice and Faith[MXM],The Golden Era[MXM],,,,,
,,Completeness Under Incomplet[GRV],UnivEarth,Scarlet Lance[MXM],tricky trick,,,,,
,,EMPIRE OF FLAME,金縛りの逢を[HVN],Seraphim,VILE CAT,,,,,
,,GALAXY BURST[MXM],極圏[EXH],Sky High[MXM],お米の美味しい炊き方、[MXM],,,,,
,,INF-B《L-aste-R》,神獄烙桜[MXM],Triple Counter[GRV],怪盗Fの台本 ～消えたダイヤの謎～[MXM],,,,,
,,※Last Concerto[GRV],セイクリッド ルイン[MXM],Ultimate Ascension,孤独の番人[HVN],,,,,
,,MODEL FT4[MXM],【超超光速スピードスターかなで[MXM]】,Wings of Glory[MXM],水簾ノ調[MXM],,,,,
,,※Sayonara Planet Wars,†渚の小悪魔ラヴリィ～レイディオ†[MXM],幻想のサテライト[HVN],誰が為に兎は舞う＝狂速狂騒曲＝[MXM],,,,,
,,STULTI[MXM],光射す澪のユズリハ[MXM],月光乱舞[EXH],※Angels And Demons,,,,,
,,ULTiMATE INFLATiON[MXM],BlueMoon Princess[MXM],【※混乱少女そふらんちゃん!!】,Black Emperor[EXH],,,,,
,,ホワイトパレード[MXM],croiX[INF],壊 Rave*it!! 壊 Rave*it!![MXM],Cepheus[MXM],,,,,
,,【※ARROW RAIN】[MXM],GaLaXyEggPlanT[MXM],そして黄金郷へ[MXM],※GEOMETRIA,,,,,
,,【BEAST BASS BOMB[MXM]】,※Legendary Road[MXM],東方妖々夢 ULTIMATE MEDLEY,HAELE III ～Angel Worlds～[GRV],,,,,
,,【※#Endroll】,Redshift[MXM],伐折羅-vajra-,INSECTICIDE,,,,,
,,Max Burning!![INF],The world of sound[HVN],ムラサキグルマ,Victim of Nights[MXM],,,,,
,,Midnight City Warfare[MXM],Warriors Aboot,【冥天・ヘメロカリス】,werewolf howls.,,,,,
,,【veRtrageS】,We Go Down[MXM],メイビ～初恋!?ビスケット☆大作戦[MXM],※アルティメットトゥルース_-Phantasm-,,,,,
,,【※魔理沙は大変なものを盗んで[GRV]】,※World's end,Blastix Riotz[EXH],侍Annihilate!!,,,,,
,,,Xronièr [EXH],Celestial stinger[GRV],到達してしまった僕らと夢と希望の最之果,,,,,
,,,※きたさいたま2000[EXH],ECHIDNA[MXM],ドリームエンド・サバイバー[MXM],,,,,
,,,業焔繚乱[GRV],FIN4LE ～終止線の彼方へ～[EXH],無魎大数[MXM],,,,,
,,,※消失,GAIA[MXM],↓↓↓,,,,,
,,,ドーパミン,Lachryma《Re:Queen’M》[EXH],ALTONA[MXM],,,,,
,,,ファイナルレター[MXM],Preserved Valkyria[EXH],New Leaf[MXM],,,,,
,,,魔境堕天録サリエル[HVN],Ok!! Hug Me[GRV],Ops:Code-Rapture-,,,,,
,,,C18H27NO3[HVN],Quaint Echo,【VALLIS-NERIA】,,,,,
,,,Hellfire [GRV],WHITEOUT[EXH],※永遠に幸せになる方法[MXM],,,,,
,,,Onigo[HVN],※Xepher Light and Darkness[GRV],腐れ外道とチョコレゐト[HVN],,,,,
,,,【最終鬼畜妹フランドール・S[GRV]】,極彩天奏[MXM],【ワールズエンド・ダンスホール】[MXM] ,,,,,
,,,,絶対零度,,,,,,
,,,,消失(Hommarju Rremix)[MXM],,,,,,
,,,,雷鼓サンダービート[MXM],,,,,,
,,,,Akzeriyyuth[MXM],,,,,,
,,,,BLAZING_LAZER[MXM],,,,,,
,,,,Fox4-Raize-,,,,,,
,,,,On take SUN[MXM],,,,,,
,,,,OPEN MY GATE[MXM],,,,,,
,,,,【SUPER SUMMER SALE[MXM]】,,,,,,
,,,,Touch My Body[MXM],,,,,,
,,,,こちら、幸福安心委員会です。 [VVD],,,,,,
,,,,スラッシュ//シスターズ[MXM],,,,,,
,,,,【のぼれ八坂坂！[MXM]】,,,,,,
,,,,マサカリブレイド,,,,,,
,,,,【真っ白な靴[MXM]】,,,,,,
,,,,まじかる生主＠りすなちゃん[GRV],,,,,,
,,,,【冥 Rockin' SWING REMIX[INF]】,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,超個人差,,,
,,,,C,D,E,,,,
,,,B,,,,,,,
,,A,,,,,,,,
