2018/3/31更新,曲数:9,,,,,,,,
Lv20,A+,A,未分類,,,,,,
,ΣmbryØ[MXM],【*Feels Seasickness...*】[MXM],,,,,,,
,FIN4LE ～終止線の彼方へ～[MXM],HE4VEN ～天国へようこそ～[MXM],,,,,,,
,Xronièr [MXM],I[MXM],,,,,,,
,,iLLness LiLin[MXM],,,,,,,
,,Lachryma《Re:Queen’M》[GRV],,,,,,,
,,WHITEOUT[MXM],,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Lv18以上難易度スレ,https://medaka.5ch.net/test/read.cgi/otoge/1538290025/l50 ,,,,,,
,曲数:54,,,,,,,,
Lv19,S,A,B,C,D,E,超個人差,未分類,地力
,Dyscontrolled Galaxy[MXM],Absolute Domination[MXM],ΑΩ[GRV],Elemental Creation[MXM],Cross Fire[MXM,Fin.ArcDeaR[MXM],【BELOBOG[MXM](19S～19E】,,鍵盤
,,Bangin' Burst[GRV],Booths of Fighters[HVN],Everlasting Message[GRV],FLOWER[HVN],Got more raves？[HVN],,,つまみ
,,For UltraPlayers[HVN],Failnaught[MXM],【Innocent tempest】[VVD],GODHEART[MXM],※Ganymede kamome mix[INF],,,※個人差
,,KAC 2013 MEDLEY Emperor Side[GRV],FLügeL《Λrp:ΣggyØ》[GRV],TWO-TORIAL[MXM],Growth Memories[GRV],Lord=Crossight[GRV],,,【初見殺し】
,,KAC 2013 MEDLEY Empress Side[MXM],GERBERA -For Finalists-[MXM],XROSS INFECTION[GRV],INSECTICIDE[HVN],月光乱舞[GRV],,,新曲
,,Quietus Ray[HVN],Last Resort[MXM],※A Lasting Promise[MXM],Staring at star[MXM],Immortal Saga[MXM],,,難易度変更
,,Awakening[MXM],TENKAICHI ULTIMATE MEDLEY[MXM],FREEDOM DiVE[MXM],極圏[HVN],Sailing Force[MXM],,,
,,※Chrono Diver -PENDULUMs-[MXM],セイレーン ～悲壮の竪琴～[MXM],Preserved Valkyria[GRV],逆月[MXM],snow storm -euphoria-[GRV],,,
,,,バンブーソード・ガール[HVN],きたさいたま2000[HVN],※Black Emperor[GRV],※大宇宙ステージ[GRV],,,
,,,※Blastix Riotz[GRV],,※Deadly force[MXM],BLACK or WHITE?[GRV],,,
,,,※Fly Like You[MXM],,XyHATTE[GRV],,,,
,,,Verse IV[HVN],,DIABLOSIS::Nāga[GRV],,,,
,,,※Xéroa[MXM],,,,,,
